text,name,cr,size,type,tags,section,alignment,environment,ac,hp,init,lair?,legendary?,unique?,sources
mm.adult-copper-dragon,Adult Copper Dragon,14,Huge,Dragon,,Dragons,chaotic good,"cave, desert, grassland",18,184,1,lair,legendary,,Monster Manual: 112
mm.adult-gold-dragon,Adult Gold Dragon,17,Huge,Dragon,,Dragons,lawful good,"mountain, ruins",19,256,2,lair,legendary,,Monster Manual: 114
mm.adult-green-dragon,Adult Green Dragon,15,Huge,Dragon,,Dragons,lawful evil,forest,19,207,1,lair,legendary,,Monster Manual: 94
mtof.adult-kruthik,Adult Kruthik,2,Medium,Monstrosity,,Kruthiks,unaligned,"cave, underground",18,39,3,,,,Mordenkainen's Tome of Foes: 212
mtof.adult-oblex,Adult Oblex,5,Medium,Ooze,,Oblex,lawful evil,underground,14,75,3,,,,Mordenkainen's Tome of Foes: 218
mm.adult-red-dragon,Adult Red Dragon,17,Huge,Dragon,,Dragons,chaotic evil,mountain,19,256,0,lair,legendary,,"Basic Rules v1: 8, Monster Manual: 98"
mm.adult-silver-dragon,Adult Silver Dragon,16,Huge,Dragon,,Dragons,lawful good,"arctic, mountain",19,243,0,lair,legendary,,Monster Manual: 117
mm.adult-white-dragon,Adult White Dragon,13,Huge,Dragon,,Dragons,chaotic evil,"arctic, cave, underground",18,200,0,lair,legendary,,"HotDQ supplement: 5, Monster Manual: 101"
apoc.aerisi-kalinoth,Aerisi Kalinoth,7,Medium,Humanoid,Elf,Howling Hatred Cultists,neutral evil,,13,66,3,,,unique,Princes of the Apocalypse: 192
apoc.aerisi-kalinoth-in-lair,Aerisi Kalinoth (in lair),9,Medium,Humanoid,Elf,Howling Hatred Cultists,neutral evil,,13,66,3,lair,,unique,Princes of the Apocalypse: 192
mm.air-elemental,Air Elemental,5,Large,Elemental,,Elementals,neutral,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground",15,90,5,,,,"Basic Rules v1: 9, HotDQ supplement: 5, Monster Manual: 124"
apoc.air-elemental-myrmidon,Air Elemental Myrmidon,7,Medium,Elemental,,Elemental Myrmidons,neutral,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground",18,117,2,,,,Princes of the Apocalypse: 212
mtof.air-elemental-myrmidon,Air Elemental Myrmidon,7,Medium,Elemental,,Elder Myrmidons,neutral,planar,18,117,2,,,,Mordenkainen's Tome of Foes: 202
toa.albino-dwarf-warrior,Albino Dwarf Warrior,0.5,Medium,Humanoid,Dwarf,,any alignment,,13,30,1,,,,Tomb of Annihilation: 210
toa.aldani-lobsterfolk,Aldani (Lobsterfolk),1,Medium,Monstrosity,,,lawful neutral,,14,49,-1,,,,Tomb of Annihilation: 210
volo.alhoon,Alhoon,10,Medium,Undead,,Mind Flayers,any evil,underground,15,120,1,,,,Volo's Guide to Monsters: 172
mtof.alkilith,Alkilith,11,Medium,Fiend,Demon,Demons,chaotic evil,"ruins, urban",17,157,4,,,,Mordenkainen's Tome of Foes: 130
mtof.allip,Allip,5,Medium,Undead,,,neutral evil,"dungeon, ruins",13,40,3,,,,Mordenkainen's Tome of Foes: 116
mm.allosaurus,Allosaurus,2,Large,Beast,,Dinosaurs,unaligned,"coast, grassland, swamp",13,51,1,,,,"Basic Rules v1: 9, Monster Manual: 79"
toa.almiraj,Almiraj,0,Small,Beast,,,unaligned,,13,3,3,,,,Tomb of Annihilation: 211
hoard.ambush-drake,Ambush Drake,0.25,Medium,Dragon,,,unaligned,"cave, dungeon, forest, mountain, ruins, swamp, urban",13,22,2,,,,Hoard of the Dragon Queen: 88
mtof.amnizu,Amnizu,18,Medium,Fiend,Devil,Devils,lawful evil,planar,21,202,1,,,,Mordenkainen's Tome of Foes: 164
mm.ancient-black-dragon,Ancient Black Dragon,21,Gargantuan,Dragon,,Dragons,chaotic evil,swamp,22,367,2,lair,legendary,,Monster Manual: 87
mm.ancient-blue-dragon,Ancient Blue Dragon,23,Gargantuan,Dragon,,Dragons,lawful evil,desert,22,481,0,lair,legendary,,Monster Manual: 90
mm.ancient-brass-dragon,Ancient Brass Dragon,20,Gargantuan,Dragon,,Dragons,chaotic good,"cave, underground",20,297,0,lair,legendary,,Monster Manual: 104
mm.ancient-bronze-dragon,Ancient Bronze Dragon,22,Gargantuan,Dragon,,Dragons,lawful good,coast,22,444,0,lair,legendary,,Monster Manual: 107
mm.ancient-copper-dragon,Ancient Copper Dragon,21,Gargantuan,Dragon,,Dragons,chaotic good,"cave, desert, grassland",21,350,1,lair,legendary,,Monster Manual: 110
mm.ancient-gold-dragon,Ancient Gold Dragon,24,Gargantuan,Dragon,,Dragons,lawful good,"mountain, ruins",22,546,2,lair,legendary,,Monster Manual: 113
mm.ancient-green-dragon,Ancient Green Dragon,22,Gargantuan,Dragon,,Dragons,lawful evil,forest,21,385,1,lair,legendary,,Monster Manual: 93
mm.ancient-red-dragon,Ancient Red Dragon,24,Gargantuan,Dragon,,Dragons,chaotic evil,mountain,22,546,0,lair,legendary,,Monster Manual: 97
mm.ancient-silver-dragon,Ancient Silver Dragon,23,Gargantuan,Dragon,,Dragons,lawful good,"arctic, mountain",22,487,0,lair,legendary,,Monster Manual: 116
mm.ancient-white-dragon,Ancient White Dragon,20,Gargantuan,Dragon,,Dragons,chaotic evil,"arctic, cave, underground",20,333,0,lair,legendary,,Monster Manual: 100
mm.androsphinx,Androsphinx,17,Large,Monstrosity,,Sphinxes,lawful neutral,"dungeon, ruins",17,199,0,lair,legendary,,Monster Manual: 281
mm.animated-armor,Animated Armor,1,Medium,Construct,,Animated Objects,unaligned,"dungeon, ruins, urban",18,33,0,,,,"Basic Rules v1: 9, Monster Manual: 19"
tftyp.animated-table,Animated Table,2,Large,Construct,,,unaligned,,15,39,-1,,,,Tales from the Yawning Portal: 230
mm.ankheg,Ankheg,2,Large,Monstrosity,,,unaligned,"coast, forest, grassland, underground",14,39,0,,,,"Monster Manual: 21, Princes of the Apocalypse Online Supplement v1.0: 8"
mm.ankylosaurus,Ankylosaurus,3,Huge,Beast,,Dinosaurs,unaligned,grassland,15,68,0,,,,"Basic Rules v1: 10, Monster Manual: 79"
toa.ankylosaurus-zombie,Ankylosaurus Zombie,3,Huge,Undead,,Zombies,unaligned,,14,68,-1,,,,Tomb of Annihilation: 240
volo.annis-hag,Annis Hag,6,Large,Fey,,Hags,chaotic evil,"grassland, mountain",17,75,1,,,,Volo's Guide to Monsters: 159
mm.ape,Ape,0.25,Medium,Beast,,Misc Creatures,unaligned,forest,12,19,2,,,,"Basic Rules v1: 10, Monster Manual: 317"
volo.apprentice-wizard,Apprentice Wizard,0.5,Medium,Humanoid,Any Race,NPCs,any,urban,10,9,0,,,,Volo's Guide to Monsters: 209
mm.arcanaloth,Arcanaloth,12,Medium,Fiend,Yugoloth,Yugoloths,neutral evil,"dungeon, planar",17,104,1,,,,Monster Manual: 313
volo.archdruid,Archdruid,12,Medium,Humanoid,Any Race,NPCs,any,"forest, mountain, swamp, aquatic",16,132,2,,,,Volo's Guide to Monsters: 210
volo.archer,Archer,3,Medium,Humanoid,Any Race,NPCs,any,"forest, urban",16,75,4,,,,Volo's Guide to Monsters: 210
mm.archmage,Archmage,12,Medium,Humanoid,any,NPCs,any,"ruins, urban",12,99,2,,,,Monster Manual: 342
mtof.armanite,Armanite,7,Large,Fiend,Demon,Demons,chaotic evil,planar,16,84,4,,,,Mordenkainen's Tome of Foes: 131
toa.artus-cimber,Artus Cimber,7,Medium,Humanoid,Human,,neutral good,,14,82,2,,,unique,Tomb of Annihilation: 212
mm.assassin,Assassin,8,Medium,Humanoid,any,NPCs,non-good,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban",15,78,3,,,,"HotDQ supplement: 6, Monster Manual: 343, Princes of the Apocalypse Online Supplement v1.0: 8"
toa.assassin-vine,Assassin Vine,3,Large,Plant,,,unaligned,,13,85,0,,,,Tomb of Annihilation: 213
mtof.astral-dreadnought,Astral Dreadnought,21,Gargantuan,Monstrosity,Titan,,unaligned,planar,20,297,-2,,legendary,,Mordenkainen's Tome of Foes: 117
toa.atropal,Atropal,13,Huge,Undead,Titan,,neutral evil,,7,225,-3,,legendary,,Tomb of Annihilation: 214
volo.aurochs,Aurochs,2,Large,Beast,,,unaligned,"grassland, mountain",11,38,0,,,,Volo's Guide to Monsters: 207
mtof.autumn-eladrin,Autumn Eladrin,10,Medium,Fey,Elf,Eladrin,chaotic neutral,planar,19,127,3,,,,Mordenkainen's Tome of Foes: 195
mm.awakened-shrub,Awakened Shrub,0,Small,Plant,,Misc Creatures,unaligned,"forest, grassland",9,10,-1,,,,"Basic Rules v1: 10, Monster Manual: 317"
mm.awakened-tree,Awakened Tree,2,Huge,Plant,,Misc Creatures,unaligned,forest,13,59,-2,,,,"Basic Rules v1: 10, Monster Manual: 317"
mm.axe-beak,Axe Beak,0.5,Large,Beast,,Misc Creatures,unaligned,grassland,11,19,1,,,,"Basic Rules v1: 11, Monster Manual: 317"
hoard.azbara-jos,Azbara Jos,4,Medium,Humanoid,Human,,lawful evil,,13,39,3,,,unique,Hoard of the Dragon Queen: 88
mm.azer,Azer,2,Medium,Elemental,,,lawful neutral,"planar, underground",17,39,1,,,,"Monster Manual: 22, Princes of the Apocalypse Online Supplement v1.0: 9"
strahd.baba-lysaga,Baba Lysaga,11,Medium,Humanoid,"Human, Shapechanger",,chaotic evil,,15,120,0,,,unique,Curse of Strahd: 228
strahd.baba-lysagas-creeping-hut,Baba Lysaga's Creeping Hut,11,Gargantuan,Construct,,,unaligned,,16,263,-2,,,unique,Curse of Strahd: 226
volo.babau,Babau,4,Medium,Fiend,Demon,Demons,chaotic evil,"underground, urban",16,82,3,,,,Volo's Guide to Monsters: 136
mm.baboon,Baboon,0,Small,Beast,,Misc Creatures,unaligned,"forest, grassland",12,3,2,,,,"Basic Rules v1: 11, Monster Manual: 318"
mm.badger,Badger,0,Tiny,Beast,,Misc Creatures,unaligned,forest,10,3,0,,,,"Basic Rules v1: 11, Monster Manual: 318"
mtof.bael,Bael,19,Large,Fiend,Devil,Archdevils,lawful evil,planar,18,189,3,,legendary,unique,Mordenkainen's Tome of Foes: 170
mtof.balhannoth,Balhannoth,11,Large,Aberration,,,chaotic evil,"cave, urban, underground",17,114,-1,,legendary,,Mordenkainen's Tome of Foes: 119
mm.balor,Balor,19,Huge,Fiend,Demon,Demons,chaotic evil,"dungeon, planar",19,262,2,,,,Monster Manual: 55
volo.banderhobb,Banderhobb,5,Large,Monstrosity,,,neutral evil,urban,15,84,1,,,,Volo's Guide to Monsters: 122
mm.bandit,Bandit,0.125,Medium,Humanoid,any,NPCs,non-lawful,"arctic, coast, desert, forest, grassland, mountain, ruins, urban",12,11,1,,,,"Basic Rules v1: 53, HotDQ supplement: 6, Monster Manual: 343"
mm.bandit-captain,Bandit Captain,2,Medium,Humanoid,any,NPCs,non-lawful,"arctic, coast, desert, forest, grassland, mountain, ruins, urban",15,65,3,,,,"Monster Manual: 344, Princes of the Apocalypse Online Supplement v1.0: 9"
mm.banshee,Banshee,4,Medium,Undead,,,chaotic evil,"dungeon, forest, ruins, swamp",12,58,2,,,,"Basic Rules v1: 11, Monster Manual: 23"
abyss.baphomet,Baphomet,23,Huge,Fiend,Demon,Demon Lords,chaotic evil,,22,333,2,,legendary,unique,Out of the Abyss: 235
mtof.baphomet,Baphomet,23,Huge,Fiend,Demon,Demon Lords,chaotic evil,planar,22,275,2,lair,legendary,unique,Mordenkainen's Tome of Foes: 143
mm.barbed-devil,Barbed Devil,5,Medium,Fiend,Devil,Devils,lawful evil,"dungeon, planar",15,110,3,,,,Monster Manual: 70
volo.bard,Bard,2,Medium,Humanoid,Any Race,NPCs,any,urban,15,44,2,,,,Volo's Guide to Monsters: 211
volo.barghest,Barghest,4,Large,Fiend,Shapechanger,,neutral evil,"forest, grassland, mountain, underground",17,90,2,,,,"Volo's Guide to Monsters: 123, Tales from the Yawning Portal: 230"
mm.barlgura,Barlgura,5,Large,Fiend,Demon,Demons,chaotic evil,"dungeon, planar",15,68,2,,,,"Monster Manual: 56, Princes of the Apocalypse Online Supplement v1.0: 9"
strahd.barovian-witch,Barovian Witch,0.25,Medium,Humanoid,Human,,chaotic evil,,10,16,0,,,,Curse of Strahd: 229
mm.basilisk,Basilisk,3,Medium,Monstrosity,,,unaligned,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground",15,52,-1,,,,"Basic Rules v1: 12, Monster Manual: 24"
apoc.bastian-thermandar,Bastian Thermandar,8,Medium,Humanoid,Fire genasi,Eternal Flame Cultists,chaotic evil,,12,78,2,,,unique,Princes of the Apocalypse: 201
mm.bat,Bat,0,Tiny,Beast,,Misc Creatures,unaligned,"cave, forest, mountain, underground, urban",12,1,2,,,,"Basic Rules v1: 12, Monster Manual: 318, Player's Handbook: 304"
mm.bearded-devil,Bearded Devil,3,Medium,Fiend,Devil,Devils,lawful evil,"dungeon, planar",13,52,2,,,,Monster Manual: 70
mm.behir,Behir,11,Huge,Monstrosity,,,neutral evil,"cave, mountain, underground",17,168,3,,,,Monster Manual: 25
mm.beholder,Beholder,13,Large,Aberration,,Beholders,lawful evil,"cave, dungeon, underground",18,180,2,,legendary,,Monster Manual: 28
mm.beholder-in-lair,Beholder (in lair),14,Large,Aberration,,Beholders,lawful evil,"cave, dungeon, underground",18,180,2,lair,legendary,,Monster Manual: 28
mm.beholder-zombie,Beholder Zombie,5,Large,Undead,,Zombies,neutral evil,"cave, dungeon, underground",15,93,-1,,,,Monster Manual: 316
mtof.berbalang,Berbalang,2,Medium,Aberration,,,neutral evil,planar,14,38,3,,,,Mordenkainen's Tome of Foes: 120
mm.berserker,Berserker,2,Medium,Humanoid,any,NPCs,any chaotic,"arctic, cave, desert, forest, grassland, mountain, swamp, urban",13,67,1,,,,"Basic Rules v1: 53, HotDQ supplement: 6, Monster Manual: 344"
volo.bheur-hag,Bheur Hag,7,Medium,Fey,,Hags,chaotic evil,arctic,17,91,3,,,,Volo's Guide to Monsters: 160
mtof.black-abishai,Black Abishai,7,Medium,Fiend,Devil,Devils,lawful evil,planar,15,58,3,,,,Mordenkainen's Tome of Foes: 160
mm.black-bear,Black Bear,0.25,Medium,Beast,,Misc Creatures,unaligned,"cave, forest, grassland, mountain",11,19,0,,,,"Basic Rules v1: 12, Monster Manual: 318, Player's Handbook: 304"
mm.black-dragon-wyrmling,Black Dragon Wyrmling,2,Medium,Dragon,,Dragons,chaotic evil,swamp,17,33,2,,,,Monster Manual: 88
apoc.black-earth-guard,Black Earth Guard,2,Medium,Humanoid,Human,Black Earth Cultists,neutral evil,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground",18,39,0,,,,Princes of the Apocalypse: 195
apoc.black-earth-priest,Black Earth Priest,3,Medium,Humanoid,Human,Black Earth Cultists,neutral evil,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground",17,45,0,,,,Princes of the Apocalypse: 195
mm.black-pudding,Black Pudding,4,Large,Ooze,,Oozes,unaligned,dungeon,7,85,-3,,,,"Monster Manual: 241, Princes of the Apocalypse Online Supplement v1.0: 10"
volo.blackguard,Blackguard,8,Medium,Humanoid,Any Race,NPCs,non-good,"underground, urban",18,153,0,,,,Volo's Guide to Monsters: 211
hoard.blagothkus,Blagothkus,9,Huge,Giant,Cloud giant,,neutral evil,,17,138,1,,,unique,Hoard of the Dragon Queen: 89
mm.blink-dog,Blink Dog,0.5,Medium,Fey,,Misc Creatures,lawful good,"forest, grassland",13,22,3,,,,"Basic Rules v1: 12, Monster Manual: 318"
mm.blood-hawk,Blood Hawk,0.125,Small,Beast,,Misc Creatures,unaligned,"coast, grassland, mountain",12,7,2,,,,"Basic Rules v1: 13, Monster Manual: 319"
mtof.blue-abishai,Blue Abishai,17,Medium,Fiend,Devil,Devils,lawful evil,planar,19,195,2,,,,Mordenkainen's Tome of Foes: 161
mm.blue-dragon-wyrmling,Blue Dragon Wyrmling,3,Medium,Dragon,,Dragons,lawful evil,desert,17,52,0,,,,Monster Manual: 91
mm.blue-slaad,Blue Slaad,7,Large,Aberration,,Slaadi,chaotic neutral,planar,15,123,2,,,,Monster Manual: 276
mm.boar,Boar,0.5,Medium,Beast,,Misc Creatures,unaligned,"forest, grassland",11,11,0,,,,"Basic Rules v1: 13, Monster Manual: 319, Player's Handbook: 304"
volo.bodak,Bodak,6,Medium,Undead,,,chaotic evil,"swamp, underground, urban",15,58,3,,,,"Volo's Guide to Monsters: 127, Tomb of Annihilation: 215"
volo.boggle,Boggle,0.125,Small,Fey,,,chaotic neutral,"forest, grassland, underground, urban",14,18,4,,,,Volo's Guide to Monsters: 128
mm.bone-devil,Bone Devil,9,Large,Fiend,Devil,Devils,lawful evil,"dungeon, planar",19,142,3,,,,Monster Manual: 71
mm.bone-naga,Bone Naga,4,Large,Undead,,Nagas,lawful evil,"dungeon, ruins",15,58,3,,,,Monster Manual: 233
mtof.boneclaw,Boneclaw,12,Large,Undead,,,chaotic evil,"dungeon, ruins, underground",16,127,3,,,,Mordenkainen's Tome of Foes: 121
mm.brass-dragon-wyrmling,Brass Dragon Wyrmling,1,Medium,Dragon,,Dragons,chaotic good,"cave, underground",16,16,0,,,,Monster Manual: 106
abyss.bridesmaid-of-zuggtmoy,Bridesmaid of Zuggtmoy,0.125,Medium,Plant,,,chaotic evil,,13,22,0,,,,Out of the Abyss: 230
volo.brontosaurus,Brontosaurus,5,Gargantuan,Beast,,Dinosaurs,unaligned,"forest, grassland",15,121,-1,,,,"Volo's Guide to Monsters: 139, Tomb of Annihilation: 215"
mm.bronze-dragon-wyrmling,Bronze Dragon Wyrmling,2,Medium,Dragon,,Dragons,lawful good,coast,17,32,0,,,,Monster Manual: 109
mtof.bronze-scout,Bronze Scout,1,Medium,Construct,,Clockworks,unaligned,planar,13,18,3,,,,Mordenkainen's Tome of Foes: 125
strahd.broom-of-animated-attack,Broom of Animated Attack,0.5,Small,Construct,,,unaligned,,15,17,3,,,,Curse of Strahd: 226
mm.brown-bear,Brown Bear,1,Large,Beast,,Misc Creatures,unaligned,"cave, forest",11,34,0,,,,"Basic Rules v1: 13, Monster Manual: 319, Player's Handbook: 304"
mm.bugbear,Bugbear,1,Medium,Humanoid,Goblinoid,Bugbears,chaotic evil,"cave, dungeon, forest, mountain, ruins, urban",16,27,2,,,,"Basic Rules v1: 13, Monster Manual: 33"
mm.bugbear-chief,Bugbear Chief,3,Medium,Humanoid,Goblinoid,Bugbears,chaotic evil,"cave, dungeon, forest, mountain, ruins, urban",17,65,2,,,,Monster Manual: 33
mm.bulette,Bulette,5,Large,Monstrosity,,,unaligned,"cave, desert, grassland, mountain, underground",17,94,0,,,,"Monster Manual: 34, Princes of the Apocalypse Online Supplement v1.0: 10"
mtof.bulezau,Bulezau,3,Medium,Fiend,Demon,Demons,chaotic evil,planar,14,52,2,,,,Mordenkainen's Tome of Foes: 131
mm.bullywug,Bullywug,0.5,Medium,Humanoid,Bullywug,,neutral evil,"coast, swamp",15,11,1,,,,"HotDQ supplement: 7, Monster Manual: 35"
apoc.burrow-shark,Burrow Shark,4,Medium,Humanoid,Human,Black Earth Cultists,neutral evil,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground",18,82,1,,,,Princes of the Apocalypse: 196
mtof.cadaver-collector,Cadaver Collector,14,Large,Construct,,,lawful evil,"planar, ruins",17,189,2,,,,Mordenkainen's Tome of Foes: 122
mm.cambion,Cambion,5,Medium,Fiend,,,any evil,"dungeon, planar, urban",19,82,4,,,,Monster Manual: 36
mm.camel,Camel,0.125,Large,Beast,,Misc Creatures,unaligned,desert,9,15,-1,,,,"Basic Rules v1: 14, Monster Manual: 320"
mtof.canoloth,Canoloth,8,Medium,Fiend,Yugoloth,Yugoloths,neutral evil,planar,16,120,0,,,,Mordenkainen's Tome of Foes: 247
hoard.captain-othelstan,Captain Othelstan,5,Medium,Humanoid,Human,,lawful evil,,19,93,0,,,unique,Hoard of the Dragon Queen: 89
mm.carrion-crawler,Carrion Crawler,2,Large,Monstrosity,,,unaligned,"cave, dungeon, underground",13,51,1,,,,Monster Manual: 37
mm.cat,Cat,0,Tiny,Beast,,Misc Creatures,unaligned,urban,12,2,2,,,,"Basic Rules v1: 14, Monster Manual: 320, Player's Handbook: 305"
volo.catoblepas,Catoblepas,5,Large,Monstrosity,,,unaligned,swamp,14,84,1,,,,Volo's Guide to Monsters: 129
volo.cave-fisher,Cave Fisher,3,Medium,Monstrosity,,,unaligned,underground,16,58,1,,,,Volo's Guide to Monsters: 130
mm.centaur,Centaur,2,Large,Monstrosity,,,neutral good,"coast, desert, grassland",12,45,2,,,,"Basic Rules v1: 14, Monster Manual: 38"
tftyp.centaur-mummy,Centaur Mummy,6,Large,Undead,,,lawful evil,,13,85,1,,,,Tales from the Yawning Portal: 231
mm.chain-devil,Chain Devil,8,Medium,Fiend,Devil,Devils,lawful evil,"dungeon, planar",16,85,2,,,,Monster Manual: 72
abyss.chamberlain-of-zuggtmoy,Chamberlain of Zuggtmoy,2,Large,Plant,,,chaotic evil,,13,45,-2,,,,Out of the Abyss: 230
volo.champion,Champion,9,Medium,Humanoid,Any Race,NPCs,any,"desert, urban",18,143,2,,,,"Volo's Guide to Monsters: 212, Tales from the Yawning Portal: 231, Tomb of Annihilation: 216"
mm.chasme,Chasme,6,Large,Fiend,Demon,Demons,chaotic evil,"dungeon, planar",15,84,2,,,,Monster Manual: 57
mm.chimera,Chimera,6,Large,Monstrosity,,,chaotic evil,mountain,14,114,0,,,,"Basic Rules v1: 14, Monster Manual: 39"
volo.chitine,Chitine,0.25,Small,Monstrosity,,Chitines,chaotic evil,underground,14,18,2,,,,Volo's Guide to Monsters: 131
mtof.choker,Choker,1,Small,Aberration,,,chaotic evil,"cave, underground",16,13,2,,,,Mordenkainen's Tome of Foes: 123
tftyp.choker,Choker,1,Small,Aberration,,,chaotic evil,,16,13,2,,,,Tales from the Yawning Portal: 232
volo.choldrith,Choldrith,3,Medium,Monstrosity,,Chitines,chaotic evil,underground,15,66,3,,,,Volo's Guide to Monsters: 132
mm.chuul,Chuul,4,Large,Aberration,,,chaotic evil,"aquatic, coast",16,93,0,,,,"Monster Manual: 40, Princes of the Apocalypse Online Supplement v1.0: 11"
abyss.chuul-spore-servant,Chuul Spore Servant,4,Large,Plant,,,unaligned,,16,93,0,,,,Out of the Abyss: 228
toa.chwinga,Chwinga,0,Tiny,Elemental,,,neutral,,15,5,5,,,,Tomb of Annihilation: 216
mm.clay-golem,Clay Golem,9,Large,Construct,,Golems,unaligned,"dungeon, ruins, urban",14,133,-1,,,,Monster Manual: 168
mm.cloaker,Cloaker,8,Large,Aberration,,,chaotic neutral,"cave, dungeon, underground",14,78,2,,,,"Monster Manual: 41, Princes of the Apocalypse Online Supplement v1.0: 11"
mm.cloud-giant,Cloud Giant,9,Huge,Giant,,Giants,neutral good (50%) or neutral evil (50%),"mountain, planar",14,200,0,,,,"Monster Manual: 154, Princes of the Apocalypse Online Supplement v1.0: 12"
volo.cloud-giant-smiling-one,Cloud Giant Smiling One,11,Huge,Giant,Cloud Giant,Giants,chaotic neutral,mountain,15,262,1,,,,Volo's Guide to Monsters: 146
mm.cockatrice,Cockatrice,0.25,Small,Monstrosity,,,unaligned,"forest, grassland, swamp",11,27,1,,,,"Basic Rules v1: 15, Monster Manual: 42"
mm.commoner,Commoner,0,Medium,Humanoid,any,NPCs,any,urban,10,4,0,,,,"Basic Rules v1: 54, HotDQ supplement: 7, Monster Manual: 345"
volo.conjurer,Conjurer,6,Medium,Humanoid,Any Race,NPCs,any,urban,12,40,2,,,,"Volo's Guide to Monsters: 212, Tales from the Yawning Portal: 232"
mm.constrictor-snake,Constrictor Snake,0.5,Large,Beast,,Misc Creatures,unaligned,"forest, swamp",12,13,2,,,,"Basic Rules v1: 15, Monster Manual: 320, Player's Handbook: 305"
mm.copper-dragon-wyrmling,Copper Dragon Wyrmling,1,Medium,Dragon,,Dragons,chaotic good,"cave, desert, grassland",16,22,1,,,,Monster Manual: 111
mtof.corpse-flower,Corpse Flower,8,Large,Plant,,,chaotic evil,"forest, ruins, swamp, urban",12,127,2,,,,Mordenkainen's Tome of Foes: 127
mm.couatl,Couatl,4,Medium,Celestial,,,lawful good,planar,19,97,5,,,,Monster Manual: 43
volo.cow,Cow,0.5,Large,Beast,,,unaligned,urban,10,15,0,,,,Volo's Guide to Monsters: 207
volo.cow-ox,Cow (Ox),0.5,Large,Beast,,,unaligned,urban,10,15,0,,,,Volo's Guide to Monsters: 208
mm.crab,Crab,0,Tiny,Beast,,Misc Creatures,unaligned,"aquatic, coast",11,2,0,,,,"Basic Rules v1: 15, Monster Manual: 320"
sking.crag-cat,Crag Cat,1,Large,Beast,,,unaligned,,13,34,3,,,,Storm King's Thunder: 240
volo.cranium-rat,Cranium Rat,0,Tiny,Beast,,Cranium Rats,lawful evil,"underground, urban",12,2,2,,,,Volo's Guide to Monsters: 133
mm.crawling-claw,Crawling Claw,0,Tiny,Undead,,,neutral evil,"dungeon, ruins, swamp",12,2,2,,,,"Monster Manual: 44, Princes of the Apocalypse Online Supplement v1.0: 12"
mm.crocodile,Crocodile,0.25,Large,Beast,,Misc Creatures,unaligned,"aquatic, coast, swamp",12,19,0,,,,"Basic Rules v1: 15, HotDQ supplement: 7, Monster Manual: 320, Player's Handbook: 305"
apoc.crushing-wave-priest,Crushing Wave Priest,2,Medium,Humanoid,Human,Crushing Wave Cultists,neutral evil,"aquatic, cave, coast, grassland, swamp, underground",13,52,0,,,,Princes of the Apocalypse: 205
