name	cr	size	type	tags	alignment	environment	ac	hp	init	legendary?	unique?	sources
Air Elemental Myrmidon	7	Medium	Elemental		neutral	planar	18	117	2			Mordenkainen's Tome of Foes: 202
Albino Dwarf Warrior	0.5	Medium	Humanoid	Dwarf	any alignment		13	30	1			Tomb of Annihilation: 210
Aldani (Lobsterfolk)	1	Medium	Monstrosity		lawful neutral		14	49	-1			Tomb of Annihilation: 210
Alhoon	10	Medium	Undead		any evil	underground	15	120	1			Volo's Guide to Monsters: 172
Alkilith	11	Medium	Fiend	Demon	chaotic evil	"ruins, urban"	17	157	4			Mordenkainen's Tome of Foes: 130
Allip	5	Medium	Undead		neutral evil	"dungeon, ruins"	13	40	3			Mordenkainen's Tome of Foes: 116
Allosaurus	2	Large	Beast		unaligned	"coast, grassland, swamp"	13	51	1			"Basic Rules v1: 9, Monster Manual: 79"
Almiraj	0	Small	Beast		unaligned		13	3	3			Tomb of Annihilation: 211
Ambush Drake	0.25	Medium	Dragon		unaligned	"cave, dungeon, forest, mountain, ruins, swamp, urban"	13	22	2			Hoard of the Dragon Queen: 88
Amnizu	18	Medium	Fiend	Devil	lawful evil	planar	21	202	1			Mordenkainen's Tome of Foes: 164
Ancient Black Dragon	21	Gargantuan	Dragon		chaotic evil	swamp	22	367	2	legendary		Monster Manual: 87
Ancient Blue Dragon	23	Gargantuan	Dragon		lawful evil	desert	22	481	0	legendary		Monster Manual: 90
Ancient Brass Dragon	20	Gargantuan	Dragon		chaotic good	"cave, underground"	20	297	0	legendary		Monster Manual: 104
Ancient Bronze Dragon	22	Gargantuan	Dragon		lawful good	coast	22	444	0	legendary		Monster Manual: 107
Ancient Copper Dragon	21	Gargantuan	Dragon		chaotic good	"cave, desert, grassland"	21	350	1	legendary		Monster Manual: 110
Ancient Gold Dragon	24	Gargantuan	Dragon		lawful good	"mountain, ruins"	22	546	2	legendary		Monster Manual: 113
Ancient Green Dragon	22	Gargantuan	Dragon		lawful evil	forest	21	385	1	legendary		Monster Manual: 93
Ancient Red Dragon	24	Gargantuan	Dragon		chaotic evil	mountain	22	546	0	legendary		Monster Manual: 97
Ancient Silver Dragon	23	Gargantuan	Dragon		lawful good	"arctic, mountain"	22	487	0	legendary		Monster Manual: 116
Ancient White Dragon	20	Gargantuan	Dragon		chaotic evil	"arctic, cave, underground"	20	333	0	legendary		Monster Manual: 100
Androsphinx	17	Large	Monstrosity		lawful neutral	"dungeon, ruins"	17	199	0	legendary		Monster Manual: 281
Animated Armor	1	Medium	Construct		unaligned	"dungeon, ruins, urban"	18	33	0			"Basic Rules v1: 9, Monster Manual: 19"
Animated Table	2	Large	Construct		unaligned		15	39	-1			Tales from the Yawning Portal: 230
Ankheg	2	Large	Monstrosity		unaligned	"coast, forest, grassland, underground"	14	39	0			"Monster Manual: 21, Princes of the Apocalypse Online Supplement v1.0: 8"
Ankylosaurus	3	Huge	Beast		unaligned	grassland	15	68	0			"Basic Rules v1: 10, Monster Manual: 79"
Ankylosaurus Zombie	3	Huge	Undead		unaligned		14	68	-1			Tomb of Annihilation: 240
Annis Hag	6	Large	Fey		chaotic evil	"grassland, mountain"	17	75	1			Volo's Guide to Monsters: 159
Ape	0.25	Medium	Beast		unaligned	forest	12	19	2			"Basic Rules v1: 10, Monster Manual: 317"
Apprentice Wizard	0.5	Medium	Humanoid	Any Race	any	urban	10	9	0			Volo's Guide to Monsters: 209
Arcanaloth	12	Medium	Fiend	Yugoloth	neutral evil	"dungeon, planar"	17	104	1			Monster Manual: 313
Archdruid	12	Medium	Humanoid	Any Race	any	"forest, mountain, swamp, aquatic"	16	132	2			Volo's Guide to Monsters: 210
Archer	3	Medium	Humanoid	Any Race	any	"forest, urban"	16	75	4			Volo's Guide to Monsters: 210
Archmage	12	Medium	Humanoid	any	any	"ruins, urban"	12	99	2			Monster Manual: 342
Armanite	7	Large	Fiend	Demon	chaotic evil	planar	16	84	4			Mordenkainen's Tome of Foes: 131
Artus Cimber	7	Medium	Humanoid	Human	neutral good		14	82	2		unique	Tomb of Annihilation: 212
Assassin	8	Medium	Humanoid	any	non-good	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"	15	78	3			"HotDQ supplement: 6, Monster Manual: 343, Princes of the Apocalypse Online Supplement v1.0: 8"
Assassin Vine	3	Large	Plant		unaligned		13	85	0			Tomb of Annihilation: 213
Astral Dreadnought	21	Gargantuan	Monstrosity	Titan	unaligned	planar	20	297	-2	legendary		Mordenkainen's Tome of Foes: 117
Atropal	13	Huge	Undead	Titan	neutral evil		7	225	-3	legendary		Tomb of Annihilation: 214
Aurochs	2	Large	Beast		unaligned	"grassland, mountain"	11	38	0			Volo's Guide to Monsters: 207
Autumn Eladrin	10	Medium	Fey	Elf	chaotic neutral	planar	19	127	3			Mordenkainen's Tome of Foes: 195
Awakened Shrub	0	Small	Plant		unaligned	"forest, grassland"	9	10	-1			"Basic Rules v1: 10, Monster Manual: 317"
Awakened Tree	2	Huge	Plant		unaligned	forest	13	59	-2			"Basic Rules v1: 10, Monster Manual: 317"
Axe Beak	0.5	Large	Beast		unaligned	grassland	11	19	1			"Basic Rules v1: 11, Monster Manual: 317"
Azbara Jos	4	Medium	Humanoid	Human	lawful evil		13	39	3		unique	Hoard of the Dragon Queen: 88
Azer	2	Medium	Elemental		lawful neutral	"planar, underground"	17	39	1			"Monster Manual: 22, Princes of the Apocalypse Online Supplement v1.0: 9"
Baba Lysaga	11	Medium	Humanoid	"Human, Shapechanger"	chaotic evil		15	120	0		unique	Curse of Strahd: 228
Baba Lysaga's Creeping Hut	11	Gargantuan	Construct		unaligned		16	263	-2		unique	Curse of Strahd: 226
Babau	4	Medium	Fiend	Demon	chaotic evil	"underground, urban"	16	82	3			Volo's Guide to Monsters: 136
Baboon	0	Small	Beast		unaligned	"forest, grassland"	12	3	2			"Basic Rules v1: 11, Monster Manual: 318"
Badger	0	Tiny	Beast		unaligned	forest	10	3	0			"Basic Rules v1: 11, Monster Manual: 318"
Bael	19	Large	Fiend	Devil	lawful evil	planar	18	189	3	legendary	unique	Mordenkainen's Tome of Foes: 170
Balhannoth	11	Large	Aberration		chaotic evil	"cave, urban, underground"	17	114	-1	legendary		Mordenkainen's Tome of Foes: 119
Balor	19	Huge	Fiend	Demon	chaotic evil	"dungeon, planar"	19	262	2			Monster Manual: 55
Banderhobb	5	Large	Monstrosity		neutral evil	urban	15	84	1			Volo's Guide to Monsters: 122
Bandit	0.125	Medium	Humanoid	any	non-lawful	"arctic, coast, desert, forest, grassland, mountain, ruins, urban"	12	11	1			"Basic Rules v1: 53, HotDQ supplement: 6, Monster Manual: 343"
Bandit Captain	2	Medium	Humanoid	any	non-lawful	"arctic, coast, desert, forest, grassland, mountain, ruins, urban"	15	65	3			"Monster Manual: 344, Princes of the Apocalypse Online Supplement v1.0: 9"
Banshee	4	Medium	Undead		chaotic evil	"dungeon, forest, ruins, swamp"	12	58	2			"Basic Rules v1: 11, Monster Manual: 23"
Baphomet	23	Huge	Fiend	Demon	chaotic evil		22	333	2	legendary	unique	Out of the Abyss: 235
Baphomet	23	Huge	Fiend	Demon	chaotic evil	planar	22	275	2	legendary	unique	Mordenkainen's Tome of Foes: 143
Barbed Devil	5	Medium	Fiend	Devil	lawful evil	"dungeon, planar"	15	110	3			Monster Manual: 70
Bard	2	Medium	Humanoid	Any Race	any	urban	15	44	2			Volo's Guide to Monsters: 211
Barghest	4	Large	Fiend	Shapechanger	neutral evil	"forest, grassland, mountain, underground"	17	90	2			"Volo's Guide to Monsters: 123, Tales from the Yawning Portal: 230"
Barlgura	5	Large	Fiend	Demon	chaotic evil	"dungeon, planar"	15	68	2			"Monster Manual: 56, Princes of the Apocalypse Online Supplement v1.0: 9"
Barovian Witch	0.25	Medium	Humanoid	Human	chaotic evil		10	16	0			Curse of Strahd: 229
Basilisk	3	Medium	Monstrosity		unaligned	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground"	15	52	-1			"Basic Rules v1: 12, Monster Manual: 24"
Bastian Thermandar	8	Medium	Humanoid	Fire genasi	chaotic evil		12	78	2		unique	Princes of the Apocalypse: 201
Bat	0	Tiny	Beast		unaligned	"cave, forest, mountain, underground, urban"	12	1	2			"Basic Rules v1: 12, Monster Manual: 318, Player's Handbook: 304"
Bearded Devil	3	Medium	Fiend	Devil	lawful evil	"dungeon, planar"	13	52	2			Monster Manual: 70
Behir	11	Huge	Monstrosity		neutral evil	"cave, mountain, underground"	17	168	3			Monster Manual: 25
Beholder	13	Large	Aberration		lawful evil	"cave, dungeon, underground"	18	180	2	legendary		Monster Manual: 28
Beholder (in lair)	14	Large	Aberration		lawful evil	"cave, dungeon, underground"	18	180	2	legendary		Monster Manual: 28
Beholder Zombie	5	Large	Undead		neutral evil	"cave, dungeon, underground"	15	93	-1			Monster Manual: 316
Berbalang	2	Medium	Aberration		neutral evil	planar	14	38	3			Mordenkainen's Tome of Foes: 120
Berserker	2	Medium	Humanoid	any	any chaotic	"arctic, cave, desert, forest, grassland, mountain, swamp, urban"	13	67	1			"Basic Rules v1: 53, HotDQ supplement: 6, Monster Manual: 344"
Bheur Hag	7	Medium	Fey		chaotic evil	arctic	17	91	3			Volo's Guide to Monsters: 160
Black Abishai	7	Medium	Fiend	Devil	lawful evil	planar	15	58	3			Mordenkainen's Tome of Foes: 160
Black Bear	0.25	Medium	Beast		unaligned	"cave, forest, grassland, mountain"	11	19	0			"Basic Rules v1: 12, Monster Manual: 318, Player's Handbook: 304"
Black Dragon Wyrmling	2	Medium	Dragon		chaotic evil	swamp	17	33	2			Monster Manual: 88
Black Earth Guard	2	Medium	Humanoid	Human	neutral evil	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground"	18	39	0			Princes of the Apocalypse: 195
Black Earth Priest	3	Medium	Humanoid	Human	neutral evil	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground"	17	45	0			Princes of the Apocalypse: 195
Black Pudding	4	Large	Ooze		unaligned	dungeon	7	85	-3			"Monster Manual: 241, Princes of the Apocalypse Online Supplement v1.0: 10"
Blackguard	8	Medium	Humanoid	Any Race	non-good	"underground, urban"	18	153	0			Volo's Guide to Monsters: 211
Blagothkus	9	Huge	Giant	Cloud giant	neutral evil		17	138	1		unique	Hoard of the Dragon Queen: 89
Blink Dog	0.5	Medium	Fey		lawful good	"forest, grassland"	13	22	3			"Basic Rules v1: 12, Monster Manual: 318"
Blood Hawk	0.125	Small	Beast		unaligned	"coast, grassland, mountain"	12	7	2			"Basic Rules v1: 13, Monster Manual: 319"
Blue Abishai	17	Medium	Fiend	Devil	lawful evil	planar	19	195	2			Mordenkainen's Tome of Foes: 161
Blue Dragon Wyrmling	3	Medium	Dragon		lawful evil	desert	17	52	0			Monster Manual: 91
Blue Slaad	7	Large	Aberration		chaotic neutral	planar	15	123	2			Monster Manual: 276
Boar	0.5	Medium	Beast		unaligned	"forest, grassland"	11	11	0			"Basic Rules v1: 13, Monster Manual: 319, Player's Handbook: 304"
Bodak	6	Medium	Undead		chaotic evil	"swamp, underground, urban"	15	58	3			"Volo's Guide to Monsters: 127, Tomb of Annihilation: 215"
Boggle	0.125	Small	Fey		chaotic neutral	"forest, grassland, underground, urban"	14	18	4			Volo's Guide to Monsters: 128
Bone Devil	9	Large	Fiend	Devil	lawful evil	"dungeon, planar"	19	142	3			Monster Manual: 71
Bone Naga	4	Large	Undead		lawful evil	"dungeon, ruins"	15	58	3			Monster Manual: 233
Boneclaw	12	Large	Undead		chaotic evil	"dungeon, ruins, underground"	16	127	3			Mordenkainen's Tome of Foes: 121
Brass Dragon Wyrmling	1	Medium	Dragon		chaotic good	"cave, underground"	16	16	0			Monster Manual: 106
Bridesmaid of Zuggtmoy	0.125	Medium	Plant		chaotic evil		13	22	0			Out of the Abyss: 230
Brontosaurus	5	Gargantuan	Beast		unaligned	"forest, grassland"	15	121	-1			"Volo's Guide to Monsters: 139, Tomb of Annihilation: 215"
Bronze Dragon Wyrmling	2	Medium	Dragon		lawful good	coast	17	32	0			Monster Manual: 109
Bronze Scout	1	Medium	Construct		unaligned	planar	13	18	3			Mordenkainen's Tome of Foes: 125
Broom of Animated Attack	0.5	Small	Construct		unaligned		15	17	3			Curse of Strahd: 226
Brown Bear	1	Large	Beast		unaligned	"cave, forest"	11	34	0			"Basic Rules v1: 13, Monster Manual: 319, Player's Handbook: 304"
Bugbear	1	Medium	Humanoid	Goblinoid	chaotic evil	"cave, dungeon, forest, mountain, ruins, urban"	16	27	2			"Basic Rules v1: 13, Monster Manual: 33"
Bugbear Chief	3	Medium	Humanoid	Goblinoid	chaotic evil	"cave, dungeon, forest, mountain, ruins, urban"	17	65	2			Monster Manual: 33
Bulette	5	Large	Monstrosity		unaligned	"cave, desert, grassland, mountain, underground"	17	94	0			"Monster Manual: 34, Princes of the Apocalypse Online Supplement v1.0: 10"
Bulezau	3	Medium	Fiend	Demon	chaotic evil	planar	14	52	2			Mordenkainen's Tome of Foes: 131
Bullywug	0.5	Medium	Humanoid	Bullywug	neutral evil	"coast, swamp"	15	11	1			"HotDQ supplement: 7, Monster Manual: 35"
Burrow Shark	4	Medium	Humanoid	Human	neutral evil	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground"	18	82	1			Princes of the Apocalypse: 196
Cadaver Collector	14	Large	Construct		lawful evil	"planar, ruins"	17	189	2			Mordenkainen's Tome of Foes: 122
Cambion	5	Medium	Fiend		any evil	"dungeon, planar, urban"	19	82	4			Monster Manual: 36
Camel	0.125	Large	Beast		unaligned	desert	9	15	-1			"Basic Rules v1: 14, Monster Manual: 320"
Canoloth	8	Medium	Fiend	Yugoloth	neutral evil	planar	16	120	0			Mordenkainen's Tome of Foes: 247
Captain Othelstan	5	Medium	Humanoid	Human	lawful evil		19	93	0		unique	Hoard of the Dragon Queen: 89
Carrion Crawler	2	Large	Monstrosity		unaligned	"cave, dungeon, underground"	13	51	1			Monster Manual: 37
Cat	0	Tiny	Beast		unaligned	urban	12	2	2			"Basic Rules v1: 14, Monster Manual: 320, Player's Handbook: 305"
Catoblepas	5	Large	Monstrosity		unaligned	swamp	14	84	1			Volo's Guide to Monsters: 129
Cave Fisher	3	Medium	Monstrosity		unaligned	underground	16	58	1			Volo's Guide to Monsters: 130
Centaur	2	Large	Monstrosity		neutral good	"coast, desert, grassland"	12	45	2			"Basic Rules v1: 14, Monster Manual: 38"
Centaur Mummy	6	Large	Undead		lawful evil		13	85	1			Tales from the Yawning Portal: 231
Chain Devil	8	Medium	Fiend	Devil	lawful evil	"dungeon, planar"	16	85	2			Monster Manual: 72
Chamberlain of Zuggtmoy	2	Large	Plant		chaotic evil		13	45	-2			Out of the Abyss: 230
Champion	9	Medium	Humanoid	Any Race	any	"desert, urban"	18	143	2			"Volo's Guide to Monsters: 212, Tales from the Yawning Portal: 231, Tomb of Annihilation: 216"
Chasme	6	Large	Fiend	Demon	chaotic evil	"dungeon, planar"	15	84	2			Monster Manual: 57
Chimera	6	Large	Monstrosity		chaotic evil	mountain	14	114	0			"Basic Rules v1: 14, Monster Manual: 39"
Chitine	0.25	Small	Monstrosity		chaotic evil	underground	14	18	2			Volo's Guide to Monsters: 131
Choker	1	Small	Aberration		chaotic evil	"cave, underground"	16	13	2			Mordenkainen's Tome of Foes: 123
Choker	1	Small	Aberration		chaotic evil		16	13	2			Tales from the Yawning Portal: 232
Choldrith	3	Medium	Monstrosity		chaotic evil	underground	15	66	3			Volo's Guide to Monsters: 132
Chuul	4	Large	Aberration		chaotic evil	"aquatic, coast"	16	93	0			"Monster Manual: 40, Princes of the Apocalypse Online Supplement v1.0: 11"
Chuul Spore Servant	4	Large	Plant		unaligned		16	93	0			Out of the Abyss: 228
Chwinga	0	Tiny	Elemental		neutral		15	5	5			Tomb of Annihilation: 216
Clay Golem	9	Large	Construct		unaligned	"dungeon, ruins, urban"	14	133	-1			Monster Manual: 168
Cloaker	8	Large	Aberration		chaotic neutral	"cave, dungeon, underground"	14	78	2			"Monster Manual: 41, Princes of the Apocalypse Online Supplement v1.0: 11"
Cloud Giant	9	Huge	Giant		neutral good (50%) or neutral evil (50%)	"mountain, planar"	14	200	0			"Monster Manual: 154, Princes of the Apocalypse Online Supplement v1.0: 12"
Cloud Giant Smiling One	11	Huge	Giant	Cloud Giant	chaotic neutral	mountain	15	262	1			Volo's Guide to Monsters: 146
Cockatrice	0.25	Small	Monstrosity		unaligned	"forest, grassland, swamp"	11	27	1			"Basic Rules v1: 15, Monster Manual: 42"
Commoner	0	Medium	Humanoid	any	any	urban	10	4	0			"Basic Rules v1: 54, HotDQ supplement: 7, Monster Manual: 345"
Conjurer	6	Medium	Humanoid	Any Race	any	urban	12	40	2			"Volo's Guide to Monsters: 212, Tales from the Yawning Portal: 232"
Constrictor Snake	0.5	Large	Beast		unaligned	"forest, swamp"	12	13	2			"Basic Rules v1: 15, Monster Manual: 320, Player's Handbook: 305"
Copper Dragon Wyrmling	1	Medium	Dragon		chaotic good	"cave, desert, grassland"	16	22	1			Monster Manual: 111
Corpse Flower	8	Large	Plant		chaotic evil	"forest, ruins, swamp, urban"	12	127	2			Mordenkainen's Tome of Foes: 127
Couatl	4	Medium	Celestial		lawful good	planar	19	97	5			Monster Manual: 43
Cow	0.5	Large	Beast		unaligned	urban	10	15	0			Volo's Guide to Monsters: 207
Cow (Ox)	0.5	Large	Beast		unaligned	urban	10	15	0			Volo's Guide to Monsters: 208
Crab	0	Tiny	Beast		unaligned	"aquatic, coast"	11	2	0			"Basic Rules v1: 15, Monster Manual: 320"
Crag Cat	1	Large	Beast		unaligned		13	34	3			Storm King's Thunder: 240
Cranium Rat	0	Tiny	Beast		lawful evil	"underground, urban"	12	2	2			Volo's Guide to Monsters: 133
Crawling Claw	0	Tiny	Undead		neutral evil	"dungeon, ruins, swamp"	12	2	2			"Monster Manual: 44, Princes of the Apocalypse Online Supplement v1.0: 12"
Crocodile	0.25	Large	Beast		unaligned	"aquatic, coast, swamp"	12	19	0			"Basic Rules v1: 15, HotDQ supplement: 7, Monster Manual: 320, Player's Handbook: 305"
Crushing Wave Priest	2	Medium	Humanoid	Human	neutral evil	"aquatic, cave, coast, grassland, swamp, underground"	13	52	0			Princes of the Apocalypse: 205
Crushing Wave Reaver	0.25	Medium	Humanoid	Human	neutral evil	"aquatic, cave, coast, grassland, swamp, underground"	14	22	2			Princes of the Apocalypse: 205
Cult Fanatic	2	Medium	Humanoid	any	non-good	"dungeon, urban"	13	33	2			"Monster Manual: 345, Princes of the Apocalypse Online Supplement v1.0: 12"
Cultist	0.125	Medium	Humanoid	any	non-good	"dungeon, urban"	12	9	1			"Basic Rules v1: 54, HotDQ supplement: 7, Monster Manual: 345"
Cyclops	6	Huge	Giant		chaotic neutral	"cave, coast, grassland, mountain, ruins, swamp"	14	138	0			"Basic Rules v1: 16, Monster Manual: 45"
Dao	11	Large	Elemental		neutral evil	"cave, dungeon, mountain, planar, underground"	18	187	1			"Monster Manual: 143, Princes of the Apocalypse Online Supplement v1.0: 13"
Dark Tide Knight	3	Medium	Humanoid	Human	lawful evil	"aquatic, cave, coast, grassland, swamp, underground"	13	58	3			Princes of the Apocalypse: 205
Darkling	0.25	Small	Fey		chaotic neutral	"forest, swamp, underground, urban"	14	13	3			Volo's Guide to Monsters: 134
Darkling Elder	2	Medium	Fey		chaotic neutral	"forest, swamp, underground, urban"	15	27	3			Volo's Guide to Monsters: 134
Darkmantle	0.25	Small	Monstrosity		unaligned	"cave, underground"	11	22	1			"Monster Manual: 46, Princes of the Apocalypse Online Supplement v1.0: 13"
Death Dog	1	Medium	Monstrosity		neutral evil	"desert, grassland, underground"	12	39	2			"Basic Rules v1: 16, Monster Manual: 321"
Death Kiss	10	Large	Aberration		neutral evil	underground	16	161	2			Volo's Guide to Monsters: 124
Death Knight	17	Medium	Undead		chaotic evil	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"	20	180	0			Monster Manual: 47
Death Slaad	10	Medium	Aberration	Shapechanger	chaotic evil	planar	18	170	2			Monster Manual: 278
Death Tyrant	14	Large	Undead		lawful evil	"cave, dungeon, underground"	19	187	2	legendary		Monster Manual: 29
Death Tyrant (in lair)	15	Large	Undead		lawful evil	"cave, dungeon, underground"	19	187	2	legendary		Monster Manual: 29
Deathlock	4	Medium	Undead		neutral evil		12	36	2			Mordenkainen's Tome of Foes: 128
Deathlock Mastermind	8	Medium	Undead		neutral evil		13	110	3			Mordenkainen's Tome of Foes: 129
Deathlock Wight	3	Medium	Undead		neutral evil		12	37	2			Mordenkainen's Tome of Foes: 129
Deathlock Wight	3	Medium	Undead		neutral evil		12	37	2			Tales from the Yawning Portal: 233
Decapus	4	Large	Monstrosity		unaligned		14	75	2			The Tortle Package: 21
Deep Gnome (Svirfneblin)	0.25	Small	Humanoid	Gnome	neutral good	"cave, dungeon, planar, underground"	15	16	2			"Monster Manual: 164, Princes of the Apocalypse Online Supplement v1.0: 13"
Deep Scion	3	Medium	Humanoid	Shapechanger	neutral evil	"coast, aquatic"	11	67	1			Volo's Guide to Monsters: 135
Deer	0	Medium	Beast		unaligned	"forest, grassland"	13	4	3			"Basic Rules v1: 16, HotDQ supplement: 7, Monster Manual: 321"
Deinonychus	1	Medium	Beast		unaligned	"forest, grassland"	13	26	2			"Volo's Guide to Monsters: 139, Tomb of Annihilation: 217"
Demilich	18	Tiny	Undead		neutral evil	dungeon	20	80	5	legendary		Monster Manual: 48
Demilich (Acererak in lair)	23	Tiny	Undead		neutral evil		20	80	5	legendary	unique	Monster Manual: 49
Demilich (Acererak)	21	Tiny	Undead		neutral evil		20	80	5	legendary	unique	Monster Manual: 49
Demilich (in lair)	20	Tiny	Undead		neutral evil	dungeon	20	80	5	legendary		Monster Manual: 48
Demogorgon	26	Huge	Fiend	Demon	chaotic evil		22	496	2	legendary	unique	Out of the Abyss: 236
Demogorgon	26	Huge	Fiend	Demon	chaotic evil	planar	22	406	2	legendary	unique	Mordenkainen's Tome of Foes: 144
Derro	0.5	Small	Humanoid	Derro	chaotic evil	underground	13	13	2			Out of the Abyss: 224
Derro	0.5	Small	Humanoid	Derro	chaotic evil	"underground, urban"	13	13	2			Mordenkainen's Tome of Foes: 158
Derro Savant	3	Small	Humanoid	Derro	chaotic evil	underground	13	49	2			Out of the Abyss: 225
Derro Savant	3	Small	Humanoid	Derro	chaotic evil	"underground, urban"	13	36	2			Mordenkainen's Tome of Foes: 159
Deva	10	Medium	Celestial		lawful good	planar	17	136	4			Monster Manual: 16
Devourer	13	Large	Fiend		chaotic evil	underground	16	178	1			Volo's Guide to Monsters: 138
Dhergoloth	7	Medium	Fiend	Yugoloth	neutral evil	planar	15	119	0			Mordenkainen's Tome of Foes: 248
Dimetrodon	0.5	Medium	Beast		unaligned	swamp	12	19	0			"Volo's Guide to Monsters: 139, Tomb of Annihilation: 217"
Dire Troll	13	Huge	Giant		chaotic evil	"dungeon, forest, mountain, ruins, swamp"	15	172	2			Mordenkainen's Tome of Foes: 243
Dire Wolf	1	Large	Beast		unaligned	"arctic, cave, forest, grassland"	14	37	2			"Basic Rules v1: 16, Monster Manual: 321, Player's Handbook: 305"
Displacer Beast	3	Large	Monstrosity		lawful evil	"forest, grassland"	13	85	2			Monster Manual: 81
Diviner	8	Medium	Humanoid	Any Race	any	urban	12	67	2			Volo's Guide to Monsters: 213
Djinni	11	Large	Elemental		chaotic good	"arctic, coast, dungeon, grassland, planar"	17	161	2			"Monster Manual: 144, Princes of the Apocalypse Online Supplement v1.0: 14"
Dolphin	0.125	Medium	Beast		unaligned	"coast, aquatic"	12	11	1			Volo's Guide to Monsters: 208
Doppelganger	3	Medium	Monstrosity	Shapechanger	neutral	"dungeon, ruins, urban"	14	52	4			"Basic Rules v1: 17, HotDQ supplement: 8, Monster Manual: 82"
Draegloth	7	Large	Fiend	Demon	chaotic evil	underground	15	123	2			Volo's Guide to Monsters: 141
Draft Horse	0.5	Large	Beast		unaligned	urban	10	19	0			"Basic Rules v1: 17, Monster Manual: 321"
Dragon Turtle	17	Gargantuan	Dragon		neutral	aquatic	20	341	0			"Monster Manual: 119, Princes of the Apocalypse Online Supplement v1.0: 14"
Dragonbait	5	Medium	Humanoid	Saurial	lawful good		17	120	1		unique	Tomb of Annihilation: 218
Dragonclaw	1	Medium	Humanoid	Human	neutral evil	"dungeon, urban"	14	16	3			"Hoard of the Dragon Queen: 89, Rise of Tiamat: 89"
